Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Canada,Housing Index,1994-08-31T00:00:00,57,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1994-09-30T00:00:00,57,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1994-10-31T00:00:00,56.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1994-11-30T00:00:00,56.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1994-12-31T00:00:00,56.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1995-01-31T00:00:00,56.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1995-02-28T00:00:00,56.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1995-03-31T00:00:00,56.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1995-04-30T00:00:00,56.5,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1995-05-31T00:00:00,56.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1995-06-30T00:00:00,56.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1995-07-31T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1995-08-31T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1995-09-30T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1995-10-31T00:00:00,55.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1995-11-30T00:00:00,55.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1995-12-31T00:00:00,55.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1996-01-31T00:00:00,55.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1996-02-29T00:00:00,55.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1996-03-31T00:00:00,55.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1996-04-30T00:00:00,55.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1996-05-31T00:00:00,55,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1996-06-30T00:00:00,55.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1996-07-31T00:00:00,55,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1996-08-31T00:00:00,55,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1996-09-30T00:00:00,55,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1996-10-31T00:00:00,55,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1996-11-30T00:00:00,55.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1996-12-31T00:00:00,55.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1997-01-31T00:00:00,55.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1997-02-28T00:00:00,55.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1997-03-31T00:00:00,55.5,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1997-04-30T00:00:00,55.5,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1997-05-31T00:00:00,55.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1997-06-30T00:00:00,55.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1997-07-31T00:00:00,55.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1997-08-31T00:00:00,55.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1997-09-30T00:00:00,55.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1997-10-31T00:00:00,55.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1997-11-30T00:00:00,55.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1997-12-31T00:00:00,55.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1998-01-31T00:00:00,56,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1998-02-28T00:00:00,56,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1998-03-31T00:00:00,56,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1998-04-30T00:00:00,56,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1998-05-31T00:00:00,56.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1998-06-30T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1998-07-31T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1998-08-31T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1998-09-30T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1998-10-31T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1998-11-30T00:00:00,56.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1998-12-31T00:00:00,56.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1999-01-31T00:00:00,56.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1999-02-28T00:00:00,56.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1999-03-31T00:00:00,56.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1999-04-30T00:00:00,56.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1999-05-31T00:00:00,56.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1999-06-30T00:00:00,56.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1999-07-31T00:00:00,56.5,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1999-08-31T00:00:00,56.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1999-09-30T00:00:00,56.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
