Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Canada,Households Debt To Income,2013-06-30T00:00:00,159.89,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2013-09-30T00:00:00,160.51,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2013-12-31T00:00:00,160.22,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2014-03-31T00:00:00,159.77,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2014-06-30T00:00:00,160.75,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2014-09-30T00:00:00,162.1,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2014-12-31T00:00:00,162.13,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2015-03-31T00:00:00,161.23,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2015-06-30T00:00:00,162.68,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2015-09-30T00:00:00,163.9,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2015-12-31T00:00:00,164.59,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2016-03-31T00:00:00,166.23,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2016-06-30T00:00:00,169.8,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2016-09-30T00:00:00,171.95,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2016-12-31T00:00:00,173.1,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2017-03-31T00:00:00,172.8,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2017-06-30T00:00:00,174.26,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,2017-09-30T00:00:00,174.31,Quarterly,CANADAHDTI,2020-09-22T10:14:00
